Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
 70-74 	0.976166	1.032811	0.924449
 75-79 	0.449627	0.693366	0.229159
 80+ 	0.000000	0.000000	0.000000
Total	1.979967	1.740333	2.226188
1993			
 0-4	2.141825	2.150148	2.133146
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.676775	1.010732	2.364128
 20-24 	4.362693	3.317741	5.437058
 25-29 	4.898543	4.229409	5.592723
 30-34 	4.470766	4.197354	4.752133
 35-39 	3.730651	3.631961	3.831367
 40-44 	2.952659	2.838186	3.069029
 45-49 	2.278153	2.099152	2.460798
 50-54 	1.703363	1.524591	1.881425
 55-59 	1.269392	1.196474	1.339579
 60-64 	1.013466	1.094848	0.938322
 65-69 	0.957231	1.117788	0.810804
 70-74 	1.024501	1.083333	0.970257
 75-79 	0.473513	0.726561	0.240240
 80+ 	0.000000	0.000000	0.000000
Total	2.102469	1.848059	2.363424
1994			
 0-4	2.342571	2.351735	2.333016
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.723906	1.038430	2.432177
 20-24 	4.487594	3.406823	5.595370
 25-29 	5.038364	4.346985	5.753613
 30-34 	4.597904	4.313269	4.889996
 35-39 	3.835641	3.731488	3.941569
 40-44 	3.039483	2.919745	3.160318
 45-49 	2.340303	2.153960	2.529808
 50-54 	1.752056	1.567014	1.936279
 55-59 	1.305379	1.229434	1.378278
 60-64 	1.041862	1.124941	0.965377
 65-69 	0.983607	1.148522	0.834196
 70-74 	1.053295	1.112842	0.998108
 75-79 	0.488026	0.746141	0.247131
 80+ 	0.000000	0.000000	0.000000
Total	2.188430	1.923856	2.459510
1995			
 0-4	2.510293	2.520028	2.500141
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.715548	1.032749	2.422439
 20-24 	4.471233	3.392129	5.577869
 25-29 	5.016077	4.325309	5.728745
 30-34 	4.576864	4.289700	4.871327
 35-39 	3.817144	3.710269	3.925621
 40-44 	3.029913	2.908522	3.151822
 45-49 	2.326432	2.138080	2.517100
 50-54 	1.744890	1.559232	1.929840
 55-59 	1.299509	1.222788	1.373051
 60-64 	1.036933	1.118790	0.961700
 65-69 	0.978330	1.142227	0.831017
 70-74 	1.048141	1.106444	0.994115
 75-79 	0.486411	0.742134	0.246319
 80+ 	0.000000	0.000000	0.000000
Total	2.210066	1.944317	2.482234
1996			
 0-4	2.643329	2.653378	2.632848
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.662651	1.000356	2.350009
 20-24 	4.333751	3.285211	5.412148
 25-29 	4.863310	4.188306	5.558512
 30-34 	4.436679	4.154540	4.726319
 35-39 	3.699710	3.592764	3.808210
 40-44 	2.941264	2.821314	3.061440
 45-49 	2.252829	2.067322	2.439639
 50-54 	1.692375	1.510807	1.873456
 55-59 	1.259917	1.184416	1.332307
 60-64 	1.005237	1.083644	0.933220
 65-69 	0.947809	1.106308	0.806382
 70-74 	1.015739	1.071362	0.964427
 75-79 	0.471884	0.719080	0.239138
 80+ 	0.000000	0.000000	0.000000
Total	2.178216	1.918845	2.443919
1997			
 0-4	2.745106	2.755313	2.734456
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.580062	0.950576	2.234931
 20-24 	4.118395	3.121380	5.147666
 25-29 	4.624084	3.978687	5.287957
 30-34 	4.217477	3.947339	4.495310
 35-39 	3.517083	3.413529	3.622168
 40-44 	2.798551	2.683241	2.914002
 45-49 	2.140948	1.962725	2.319353
 50-54 	1.609391	1.435844	1.782708
 55-59 	1.197838	1.125490	1.267304
 60-64 	0.955803	1.029777	0.887856
 65-69 	0.900759	1.051270	0.767150
 70-74 	0.965380	1.017843	0.917360
 75-79 	0.448844	0.683513	0.227563
 80+ 	0.000000	0.000000	0.000000
Total	2.109323	1.861938	2.362872
1998			
 0-4	2.814917	2.825256	2.804128
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.476337	0.888681	2.088004
 20-24 	3.847398	2.917872	4.808448
 25-29 	4.321911	3.718640	4.941121
 30-34 	3.940671	3.689817	4.198917
 35-39 	3.287020	3.191322	3.384133
 40-44 	2.615890	2.509013	2.722867
 45-49 	2.002013	1.835598	2.167365
 50-54 	1.503597	1.341789	1.665297
 55-59 	1.119501	1.052349	1.184139
 60-64 	0.893445	0.962842	0.829667
 65-69 	0.841794	0.982906	0.716860
 70-74 	0.902028	0.951536	0.857161
 75-79 	0.419526	0.638929	0.212483
 80+ 	0.000000	0.000000	0.000000
Total	2.012257	1.781288	2.248948
1999			
 0-4	2.849292	2.859644	2.838489
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.358948	0.818361	1.921508
 20-24 	3.540447	2.686553	4.423059
 25-29 	3.978340	3.423415	4.545918
 30-34 	3.625616	3.396498	3.861111
 35-39 	3.025433	2.938556	3.113525
 40-44 	2.407195	2.309677	2.504705
 45-49 	1.845213	1.692614	1.995818
 50-54 	1.382544	1.234010	1.530854
 55-59 	1.030611	0.969263	1.089875
 60-64 	0.822527	0.886666	0.763481
 65-69 	0.774969	0.905136	0.659687
 70-74 	0.830143	0.876240	0.788766
 75-79 	0.385744	0.587775	0.195012
 80+ 	0.000000	0.000000	0.000000
Total	1.894661	1.681836	2.112634
