Need for ART by age			
	Ghana		
 	Total	Male	Female
 80+ 	36.127461	23.210021	12.917440
Total	36373.871723	16998.837214	19375.034509
2000			
 0-4	13300.533451	6809.665413	6490.868038
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	157.754851	76.991672	80.763179
 20-24 	607.825200	180.167986	427.657214
 25-29 	3343.706784	1167.200905	2176.505878
 30-34 	5194.257591	2081.812874	3112.444717
 35-39 	5050.702690	2264.023758	2786.678932
 40-44 	3774.158596	1825.714451	1948.444145
 45-49 	3049.549740	1498.977764	1550.571976
 50-54 	2108.947037	1017.541874	1091.405163
 55-59 	1160.874584	533.250433	627.624151
 60-64 	652.613658	295.182790	357.430868
 65-69 	375.577728	181.547394	194.030334
 70-74 	224.080774	118.874893	105.205881
 75-79 	132.751038	70.156806	62.594232
 80+ 	40.970667	25.618290	15.352377
Total	39174.304387	18146.727302	21027.577085
2001			
 0-4	13682.044720	7004.430573	6677.614147
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	215.559178	106.398485	109.160694
 20-24 	627.251907	184.982774	442.269133
 25-29 	3529.609891	1218.803412	2310.806479
 30-34 	5592.897903	2212.410645	3380.487259
 35-39 	5562.822929	2458.621056	3104.201874
 40-44 	4156.417000	1984.047066	2172.369934
 45-49 	3304.164059	1605.506401	1698.657658
 50-54 	2215.000687	1059.960381	1155.040306
 55-59 	1243.289291	570.309710	672.979582
 60-64 	692.192882	311.645015	380.547867
 65-69 	402.880489	191.702476	211.178013
 70-74 	240.102426	124.786438	115.315987
 75-79 	143.856204	74.277183	69.579021
 80+ 	46.374085	28.008542	18.365543
Total	41654.463650	19135.890155	22518.573496
2002			
 0-4	13924.319897	7128.069275	6796.250622
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	288.324007	143.382270	144.941736
 20-24 	635.679661	186.757297	448.922364
 25-29 	3660.828333	1249.237906	2411.590426
 30-34 	5913.373932	2307.802490	3605.571442
 35-39 	6035.473984	2633.220528	3402.253456
 40-44 	4510.436169	2126.201283	2384.234886
 45-49 	3564.685844	1715.344063	1849.341782
 50-54 	2279.536613	1081.460880	1198.075733
 55-59 	1314.644611	602.764669	711.879942
